X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;personne;définition;langage;mode;configuration;xml;web;méthode;bits;foreach;pouvoir;information;varchar;timestamp;easyphp;insert;pouvoir;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur;null
méthode get;0.363636;0.2;0.125;0.2;0.222222;0.2;0.5;0.222222;0.2;0.142857;0.117647;0.142857;0.105263;0.2;0.2;1;0.0909091;0.2;0.333333;0.142857;0.2;0.2;0.2;0.2;0.2;0.5;0.142857;0.2;0.2;0.5;0.1;0.2;0.5;0.5;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0909091;0.2;0.2;0.5;0.2;0.142857;0.5;0.2;0.2;0.5;0.5;0.2;0.2
code;0.266667;0.111111;0.222222;0.333333;0.0714286;0.25;0.111111;0.0714286;0.111111;0.2;0.210526;0.2;0.190476;0.111111;0.25;0.0909091;1;0.25;0.2;0.2;0.25;0.25;0.25;0.25;0.25;0.111111;0.5;0.25;0.111111;0.111111;0.153846;0.25;0.111111;0.111111;0.111111;0.2;0.25;0.25;0.25;0.111111;0.111111;0.25;0.25;0.111111;0.142857;0.111111;0.25;0.111111;0.25;0.5;0.111111;0.25;0.25;0.111111;0.111111;0.25;0.111111
utilisateur;0.181818;0.333333;0.142857;0.25;0.125;0.333333;0.333333;0.125;0.333333;0.5;0.133333;0.2;0.0555556;0.333333;1;0.2;0.25;1;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.25;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
afficher;0.363636;0.2;0.285714;0.5;0.222222;0.2;0.5;0.222222;0.2;0.333333;0.266667;0.142857;0.105263;0.2;0.5;0.333333;0.2;0.5;1;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.5;0.1;0.2;0.2;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.142857;0.5;0.2;0.5;0.2;0.2;0.5;0.2
nécessaire;0.0714286;0.5;0.125;0.2;0.222222;0.5;0.2;0.222222;0.5;0.142857;0.266667;1;0.235294;0.5;0.2;0.142857;0.2;0.2;0.142857;1;0.5;0.5;0.2;0.2;0.5;0.2;0.333333;0.5;0.2;0.2;0.571429;0.5;0.2;0.2;0.5;0.142857;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2
serveur;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fois;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
programmation;0.181818;0.333333;0.142857;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
class;0.181818;0.333333;0.142857;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
commentaires;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
composer;0.181818;0.333333;0.0666667;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.0555556;0.333333;0.333333;0.5;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.125;0.333333;1;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
chaîne;0.153846;0.2;0.125;0.2;0.1;0.5;0.2;0.1;0.2;0.142857;0.117647;0.333333;0.235294;0.2;0.2;0.142857;0.5;0.2;0.142857;0.333333;0.5;0.5;0.5;0.5;0.5;0.2;1;0.5;0.2;0.2;0.222222;0.5;0.2;0.2;0.2;0.333333;0.5;0.2;0.5;0.2;0.2;0.5;0.5;0.2;0.0909091;0.2;0.2;0.2;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2
syntaxe;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
personne;0.0833333;0.333333;0.0666667;0.111111;0.285714;0.333333;0.333333;0.285714;0.333333;0.5;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.285714;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;0.25;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
définition;0.181818;0.333333;0.142857;0.25;0.285714;0.333333;1;0.285714;0.333333;0.2;0.133333;0.2;0.117647;0.333333;0.333333;0.5;0.111111;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
langage;0.0588235;0.285714;0.105263;0.153846;0.4;0.285714;0.125;0.4;0.285714;0.222222;0.222222;0.571429;0.411765;0.285714;0.125;0.1;0.153846;0.125;0.1;0.571429;0.285714;0.285714;0.125;0.125;0.285714;0.125;0.222222;0.285714;0.285714;0.125;1;0.285714;0.125;0.125;0.285714;0.1;0.285714;0.125;0.285714;0.285714;0.285714;0.125;0.285714;0.285714;0.363636;0.285714;0.125;0.125;0.125;0.222222;0.125;0.125;0.125;0.125;0.125;0.125;0.285714
mode;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
configuration;0.181818;0.333333;0.0666667;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.0555556;0.333333;0.333333;0.5;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.125;0.333333;1;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
xml;0.181818;0.333333;0.0666667;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.0555556;0.333333;0.333333;0.5;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.125;0.333333;1;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
web;0.0833333;1;0.142857;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.2;0.133333;0.5;0.117647;1;0.333333;0.2;0.111111;0.333333;0.2;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
méthode;0.363636;0.2;0.285714;0.2;0.222222;0.2;0.5;0.222222;0.2;0.142857;0.117647;0.142857;0.235294;0.2;0.2;0.333333;0.2;0.2;0.333333;0.142857;0.2;0.2;0.5;0.5;0.2;0.2;0.333333;0.2;0.2;0.5;0.1;0.2;0.2;0.2;0.2;1;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.0909091;0.2;0.2;0.2;0.5;0.333333;0.5;0.5;0.2;0.2;0.2;0.2;0.2
bits;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
foreach;0.181818;0.333333;0.142857;0.25;0.125;0.333333;0.333333;0.125;0.333333;0.5;0.133333;0.2;0.0555556;0.333333;1;0.2;0.25;1;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.25;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
pouvoir;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
information;0.0833333;1;0.142857;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.2;0.133333;0.5;0.117647;1;0.333333;0.2;0.111111;0.333333;0.2;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
varchar;0.0833333;0.333333;0.0666667;0.111111;0.285714;0.333333;0.333333;0.285714;0.333333;0.5;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.285714;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;0.25;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
timestamp;0.181818;0.333333;0.142857;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
easyphp;0.0833333;0.333333;0.0666667;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.133333;0.5;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
insert;0.0833333;0.333333;0.0666667;0.111111;0.285714;0.333333;0.333333;0.285714;0.333333;0.5;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.285714;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;0.25;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
pouvoir;0.117647;0.25;0.222222;0.142857;0.363636;0.111111;0.111111;0.363636;0.25;0.5;0.210526;0.2;0.190476;0.25;0.25;0.0909091;0.142857;0.25;0.2;0.2;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.0909091;0.111111;0.25;0.111111;0.363636;0.111111;0.111111;0.111111;0.25;0.0909091;0.111111;0.25;0.111111;0.25;0.25;0.111111;0.111111;0.25;1;0.25;0.25;0.111111;0.111111;0.0909091;0.111111;0.111111;0.25;0.111111;0.111111;0.25;0.25
impossible;0.0833333;1;0.142857;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.2;0.133333;0.5;0.117647;1;0.333333;0.2;0.111111;0.333333;0.2;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
en-tête;0.181818;0.333333;0.142857;0.25;0.125;0.333333;0.333333;0.125;0.333333;0.5;0.133333;0.2;0.0555556;0.333333;1;0.2;0.25;1;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.25;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
client;0.181818;0.333333;0.0666667;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.0555556;0.333333;0.333333;0.5;0.111111;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.125;0.333333;1;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
file;0.181818;0.333333;0.142857;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
echo;0.153846;0.2;0.125;0.2;0.1;0.5;0.2;0.1;0.2;0.142857;0.117647;0.333333;0.235294;0.2;0.2;0.142857;0.5;0.2;0.142857;0.333333;0.5;0.5;0.5;0.5;0.5;0.2;1;0.5;0.2;0.2;0.222222;0.5;0.2;0.2;0.2;0.333333;0.5;0.2;0.5;0.2;0.2;0.5;0.5;0.2;0.0909091;0.2;0.2;0.2;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2
rue;0.181818;0.333333;0.142857;0.25;0.285714;0.333333;1;0.285714;0.333333;0.2;0.133333;0.2;0.117647;0.333333;0.333333;0.5;0.111111;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
exception;0.181818;0.333333;0.142857;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.2;0.0625;0.2;0.117647;0.333333;0.333333;0.2;0.25;0.333333;0.2;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
