X ; science bn:00069670n ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; david harel bn:03178978n ; mathematics bn:00053823n ; state bn:00023236n ; state machine bn:00212740n ; diagrams bn:00026817n ; communication bn:00021221n ; units bn:00021497n ; language bn:00049910n ; complex bn:00100148a ; complex system bn:03086504n ; problem bn:00048242n ; reactive systems bn:02824399n ; example bn:00032100n ; automobiles bn:00007309n ; networks bn:00024712n ; way bn:00033729n ; time bn:00077270n ; simulation bn:00021496n ; set bn:00070697n ; output bn:00036821n ; information bn:00046705n ; tool bn:00077585n ; number bn:00058285n ; state transition bn:03348716n ; nature bn:00057017n ; triggering bn:00082306v ; hierarchical bn:00104156a ; orthogonality bn:00059586n ; main bn:00099598a ; possible bn:00108829a ; broadcast bn:00013234n ; semantics bn:00070404n ; concept bn:00021547n ; occurring bn:00085337v ; america bn:00003341n ; achieved bn:00082226v ; automata bn:00007371n ; c d bn:00016915n ; sec bn:00068672n ; history bn:00044268n ; effect bn:00021961n ; require bn:00091028v ; determinism bn:00026654n ; simultaneous bn:00099916a ; application bn:00005095n ; possibility bn:00045632n ; light bn:00051108n ; second bn:00095974a ; merely bn:00114626r ; syntax bn:00062118n ; substates bn:00964536n ; defined bn:00086465v ; formal syntax bn:01042120n ; definition bn:00025928n ; subset bn:00074971n ; management bn:00053116n ; higraphs bn:01691263n ; finite bn:00102992a ; new york bn:00041611n ; automata theory bn:00152075n ; entity bn:00031027n ; types bn:00016413n ; multiple bn:00107028a ; composite bn:00100155a ; sequence bn:00070574n ; large number bn:14223782n ; workflows bn:00081578n ; strategy bn:00069579n ; code bn:00020354n ; current bn:00096401a ; traffic light bn:00074441n ; bit bn:00010731n ; summary bn:00075142n ; autonomous bn:00097830a ; stateflow bn:03369007n ; composite states bn:00892979n ; simple bn:00098053a ; interaction diagram bn:02571962n ; deterministic finite state automata bn:03499526n
hierarchical bn:00104156a ; 0.2 ; 0.111111 ; 0.2 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.285714 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
orthogonality bn:00059586n ; 0.333333 ; 0.2 ; 0.333333 ; 0.1 ; 0.5 ; 0.142857 ; 0.5 ; 0.142857 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.25 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.2 ; 0.2 ; 1 ; 0.2 ; 0.142857 ; 0.5 ; 0.25 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.111111 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5
main bn:00099598a ; 0.2 ; 0.111111 ; 0.2 ; 0.285714 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
possible bn:00108829a ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.1 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.111111 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.571429 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 1 ; 0.2 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2
broadcast bn:00013234n ; 0.2 ; 0.111111 ; 0.5 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
semantics bn:00070404n ; 0.25 ; 0.166667 ; 0.111111 ; 0.444444 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.25 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.166667 ; 0.0833333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.25 ; 0.333333 ; 0.111111 ; 0.142857 ; 1 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.25 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333
concept bn:00021547n ; 0.142857 ; 0.0909091 ; 0.333333 ; 0.1 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.111111 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.222222 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.111111 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.111111 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2
occurring bn:00085337v ; 0.2 ; 0.111111 ; 0.2 ; 0.125 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.285714 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
america bn:00003341n ; 0.2 ; 0.111111 ; 0.2 ; 0.125 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.285714 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
achieved bn:00082226v ; 0.2 ; 0.111111 ; 0.2 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
automata bn:00007371n ; 1 ; 0.5 ; 0.142857 ; 0.1 ; 0.5 ; 0.142857 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.666667 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.1 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.25 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5
c d bn:00016915n ; 0.2 ; 0.111111 ; 0.5 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
sec bn:00068672n ; 0.2 ; 0.111111 ; 0.5 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.142857 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
history bn:00044268n ; 0.2 ; 0.111111 ; 0.5 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
effect bn:00021961n ; 0.111111 ; 0.166667 ; 0.111111 ; 0.444444 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.25 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0769231 ; 0.0833333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.2 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 1 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
require bn:00091028v ; 0.2 ; 0.111111 ; 0.5 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.142857 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
determinism bn:00026654n ; 0.5 ; 0.25 ; 0.2 ; 0.125 ; 1 ; 0.2 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
simultaneous bn:00099916a ; 0.2 ; 0.111111 ; 0.2 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
application bn:00005095n ; 0.2 ; 0.25 ; 0.2 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
possibility bn:00045632n ; 0.2 ; 0.111111 ; 0.2 ; 0.125 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.285714 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
